N,rho_full_unrestricted_min1,rho_prior_unrestricted_sum_normalized,difference_min1_minus_prior_unrestricted,rho_original_structured,difference_min1_minus_structured,absolute_difference_vs_structured,rescaling_spectral_radius_error,output_min_gap,lambda_final,minimum_gap_positions_1_based,reversal_error,inward_nonincreasing,gap_pattern_min1
3,1.5,1.5,0.000000e+00,1.5,-2.220446e-16,2.220446e-16,0.000000e+00,1,3,1-2,0.000000e+00,True,1^2
4,1.802775637731995,1.802775637731995,0.000000e+00,1.80277563773199,4.662937e-15,4.662937e-15,0.000000e+00,1,4,1-3,0.000000e+00,True,1^3
5,2.006932429798715,2.006932429798715,0.000000e+00,2.00693242979872,-4.884981e-15,4.884981e-15,0.000000e+00,1,5,1-4,0.000000e+00,True,1^4
6,2.154457416887877,2.154457416887878,-8.881784e-16,2.15445741688788,-2.664535e-15,2.664535e-15,8.881784e-16,1,6.000000000000006,1-5,1.554312e-15,True,1^5
7,2.266344759887142,2.266344759887142,0.000000e+00,2.26634475988714,2.220446e-15,2.220446e-15,0.000000e+00,1,7,1-6,0.000000e+00,True,1^6
8,2.354293366779299,2.354293366779299,0.000000e+00,2.3542933667793,-8.881784e-16,8.881784e-16,0.000000e+00,1,8,1-7,0.000000e+00,True,1^7
9,2.425354504355918,2.425354504355918,0.000000e+00,2.42535450435592,-2.220446e-15,2.220446e-15,0.000000e+00,1,9,1-8,2.220446e-16,True,1^8
10,2.484039162110373,2.484039162110373,0.000000e+00,2.48403916211037,2.664535e-15,2.664535e-15,0.000000e+00,1,10,1-9,0.000000e+00,True,1^9
11,2.533371720369743,2.533371720369743,0.000000e+00,2.53337172036974,2.664535e-15,2.664535e-15,0.000000e+00,1,11,1-10,4.440892e-16,True,1^10
12,2.575458144181769,2.575458144181769,0.000000e+00,2.57545814418177,-8.881784e-16,8.881784e-16,0.000000e+00,1,12,1-11,2.220446e-16,True,1^11
13,2.611811445546682,2.611811445546682,0.000000e+00,2.61181144554668,2.220446e-15,2.220446e-15,0.000000e+00,1,13,1-12,0.000000e+00,True,1^12
14,2.643547546199519,2.643547546199519,0.000000e+00,2.64354754619952,-8.881784e-16,8.881784e-16,0.000000e+00,1,14,1-13,0.000000e+00,True,1^13
15,2.671508105468008,2.671508105468008,0.000000e+00,2.67150810546801,-2.220446e-15,2.220446e-15,0.000000e+00,1,15,1-14,0.000000e+00,True,1^14
16,2.696340284673577,2.696340284673577,0.000000e+00,2.69634028467358,-3.108624e-15,3.108624e-15,0.000000e+00,1,16,1-15,0.000000e+00,True,1^15
17,2.718550123424645,2.718550123424645,0.000000e+00,2.71855012342465,-4.884981e-15,4.884981e-15,0.000000e+00,1,17,1-16,2.220446e-16,True,1^16
18,2.738539200448717,2.738539200448717,0.000000e+00,2.73853920044872,-3.552714e-15,3.552714e-15,0.000000e+00,1,18,1-17,0.000000e+00,True,1^17
19,2.756630395513281,2.756630395513282,-8.881784e-16,2.75663039551328,8.881784e-16,8.881784e-16,8.881784e-16,1,19.00000000000002,1-18,3.108624e-15,True,1^18
20,2.773086362018684,2.773086362018684,0.000000e+00,2.77308636201868,3.996803e-15,3.996803e-15,0.000000e+00,1,20,1-19,0.000000e+00,True,1^19
21,2.78816403424379,2.788164034243788,2.220446e-15,2.78816403424379,0.000000e+00,0.000000e+00,2.220446e-15,1,25.94306941798234,2-19,8.429179e-12,True,3.471534709^1 | 1^18 | 3.471534709^1
22,2.802593648397908,2.802593648397909,-1.332268e-15,2.80259364839791,-2.220446e-15,2.220446e-15,1.332268e-15,1,27.72623967745892,2-20,7.456863e-13,True,3.863119839^1 | 1^19 | 3.863119839^1
23,2.815856150306842,2.815856150306844,-1.776357e-15,2.81585615030684,2.220446e-15,2.220446e-15,1.776357e-15,1,29.46246075633153,2-21,4.942913e-14,True,4.231230378^1 | 1^20 | 4.231230378^1
24,2.828084280003235,2.828084280003238,-3.108624e-15,2.82808428000324,-5.329071e-15,5.329071e-15,3.108624e-15,1,31.1703222521336,2-22,5.084966e-13,True,4.585161126^1 | 1^21 | 4.585161126^1
25,2.839393106220806,2.839393106220808,-1.776357e-15,2.83939310622081,-3.996803e-15,3.996803e-15,1.776357e-15,1,32.85923589684279,2-23,3.840502e-12,True,4.929617948^1 | 1^22 | 4.929617948^1
26,2.849882077661133,2.849882077661136,-2.664535e-15,2.84988207766113,3.108624e-15,3.108624e-15,2.664535e-15,1,34.53465992734982,2-24,1.608987e-13,True,5.267329964^1 | 1^23 | 5.267329964^1
27,2.859637241783637,2.85963724178364,-2.220446e-15,2.85963724178364,-2.664535e-15,2.664535e-15,2.220446e-15,1,36.20004709210941,2-25,5.060693e-12,True,5.600023546^1 | 1^24 | 5.600023546^1
28,2.868733258057152,2.868733258057153,-1.332268e-15,2.86873325805715,1.776357e-15,1.776357e-15,1.332268e-15,1,37.85771854975502,2-26,4.255134e-13,True,5.928859275^1 | 1^25 | 5.928859275^1
29,2.877235129808751,2.877235129808751,0.000000e+00,2.87723512980875,4.440892e-16,4.440892e-16,0.000000e+00,1,39.50930690013995,2-27,9.686877e-15,True,6.25465345^1 | 1^26 | 6.25465345^1
30,2.885199664180503,2.885199664180506,-2.664535e-15,2.8851996641805,3.108624e-15,3.108624e-15,2.664535e-15,1,41.15600137681527,2-28,7.119848e-14,True,6.578000688^1 | 1^27 | 6.578000688^1
31,2.892676693485542,2.892676693485546,-3.996803e-15,2.89267669348554,2.220446e-15,2.220446e-15,2.664535e-15,1,42.79869285569934,2-29,5.822638e-12,True,6.899346428^1 | 1^28 | 6.899346428^1
32,2.899710094908337,2.89971009490834,-3.552714e-15,2.89971009490834,-3.552714e-15,3.552714e-15,3.552714e-15,1,44.43806420001609,2-30,5.758593e-11,True,7.2190321^1 | 1^29 | 7.2190321^1
33,2.906338642528675,2.906338642528677,-2.220446e-15,2.90633864252867,4.884981e-15,4.884981e-15,2.220446e-15,1,46.07464896104275,2-31,5.376048e-12,True,7.537324481^1 | 1^30 | 7.537324481^1
34,2.912596720867177,2.912596720867179,-2.220446e-15,2.91259672086718,-3.108624e-15,3.108624e-15,2.220446e-15,1,47.70887087806598,2-32,5.170613e-13,True,7.854435439^1 | 1^31 | 7.854435439^1
35,2.918555091204003,2.918555091204002,8.881784e-16,2.918555091204,2.664535e-15,2.664535e-15,8.881784e-16,1,54.33625675014812,3-32,4.411696e-12,True,5.834064188^2 | 1^30 | 5.834064188^2
36,2.924351435852302,2.924351435852305,-3.108624e-15,2.9243514358523,1.776357e-15,1.776357e-15,3.108624e-15,1,56.39139833468036,3-33,3.598820e-11,True,6.097849584^2 | 1^31 | 6.097849584^2
37,2.929841855101604,2.929841855101607,-2.220446e-15,2.9298418551016,4.440892e-15,4.440892e-15,2.220446e-15,1,58.44013956532939,3-34,9.368528e-13,True,6.360034891^2 | 1^32 | 6.360034891^2
38,2.93505002131637,2.93505002131637,0.000000e+00,2.93505002131637,0.000000e+00,0.000000e+00,0.000000e+00,1,60.48348824637634,3-35,3.646275e-14,True,6.620872062^2 | 1^33 | 6.620872062^2
39,2.939997257189248,2.939997257189255,-6.661338e-15,2.93999725718925,-1.776357e-15,1.776357e-15,6.661338e-15,1,62.52224893486228,3-36,7.206889e-11,True,6.880562234^2 | 1^34 | 6.880562234^2
40,2.944702811723272,2.944702811723276,-4.440892e-15,2.94470281172327,1.776357e-15,1.776357e-15,4.440892e-15,1,64.55707282734886,3-37,3.501061e-11,True,7.139268207^2 | 1^35 | 7.139268207^2
41,2.949184100391463,2.949184100391465,-1.776357e-15,2.94918410039146,3.552714e-15,3.552714e-15,1.776357e-15,1,66.58849332144329,3-38,9.923343e-13,True,7.39712333^2 | 1^36 | 7.39712333^2
42,2.953456914154749,2.953456914154748,4.440892e-16,2.95345691415475,-1.332268e-15,1.332268e-15,4.440892e-16,1,68.61695195052793,3-39,1.897861e-12,True,7.654237988^2 | 1^37 | 7.654237988^2
43,2.957535601544917,2.957535601544922,-4.440892e-15,2.95753560154492,-2.664535e-15,2.664535e-15,4.440892e-15,1,70.64281760684008,3-40,1.218421e-11,True,7.910704402^2 | 1^38 | 7.910704402^2
44,2.961460249171716,2.961460249171723,-6.217249e-15,2.96146024917172,-3.552714e-15,3.552714e-15,6.217249e-15,1,91.41119928680482,4-40,9.141379e-11,True,16.88129293^1 | 4.912153356^2 | 1^37 | 4.912153356^2 | 16.88129293^1
45,2.965289635902908,2.965289635902913,-5.329071e-15,2.96528963590291,-2.220446e-15,2.220446e-15,5.329071e-15,1,94.35776276472269,4-41,9.423593e-12,True,17.4503816^1 | 5.114249893^2 | 1^38 | 5.114249893^2 | 17.4503816^1
46,2.968953447482414,2.968953447482419,-4.884981e-15,2.96895344748241,3.552714e-15,3.552714e-15,4.884981e-15,1,97.29097967328659,4-42,4.204051e-10,True,18.01714958^1 | 5.314170127^2 | 1^39 | 5.314170128^2 | 18.01714958^1
47,2.972462152217869,2.972462152217879,-9.769963e-15,2.97246215221787,-8.881784e-16,8.881784e-16,9.769963e-15,1,100.2130573208863,4-43,4.708223e-11,True,18.58198263^1 | 5.512273017^2 | 1^40 | 5.512273017^2 | 18.58198263^1
48,2.975825380668484,2.975825380668494,-1.021405e-14,2.97582538066848,4.440892e-15,4.440892e-15,1.021405e-14,1,103.1257231359384,4-44,5.683164e-11,True,19.14517911^1 | 5.708841228^2 | 1^41 | 5.708841228^2 | 19.14517911^1
