N,record_count_refined,count_independent_test,j,L,n_j,n_j_over_N,conjectured_n_j_over_N,count_fraction_error,count_fraction_relative_error,gamma_j,effective_exponent_log_gamma_over_log_N,gamma_over_N_to_j_over_2,gamma_over_N_to_j,n_j_over_n_jplus1,pi_ratio_error
48,True,True,0,2,41,0.8541666666666666,0.6816901138162093,0.17247655285045738,0.2530131350811387,1.0,0.0,1.0,1.0,20.5,17.358407346410207
48,True,True,1,2,2,0.041666666666666664,0.10849435127072644,-0.06682768460405977,-0.6159554282904955,5.708841227819454,0.449993699844124,0.8240002549105988,0.11893419224623862,2.0,-1.1415926535897931
48,True,True,2,2,1,0.020833333333333332,0.034534824604569136,-0.013701491271235804,-0.3967441974331911,19.14517911233029,0.7625672064391642,0.3988578981735477,0.008309539545282244,,
800,True,True,0,5,641,0.80125,0.6816901138162093,0.11955988618379076,0.17538744329806336,1.0,0.0,1.0,1.0,11.87037037037037,8.728777716780577
800,True,True,1,5,54,0.0675,0.10849435127072644,-0.04099435127072644,-0.37784779383060274,20.246242476519765,0.44998413403273213,0.7158127674347122,0.025307803095649707,3.375,0.23340734641020688
800,True,True,2,5,16,0.02,0.034534824604569136,-0.014534824604569136,-0.42087442953586346,175.6151729138036,0.7731630937054216,0.2195189661422545,0.0002743987076778181,2.6666666666666665,-0.4749259869231266
800,True,True,3,5,6,0.0075,0.010992776089257578,-0.0034927760892575783,-0.3177337608714516,996.3633158952689,1.0328366474135178,0.04403345357469118,1.946022101357947e-06,3.0,-0.14159265358979312
800,True,True,4,5,2,0.0025,0.003499109305815475,-0.0009991093058154751,-0.2855324651204717,4236.986105588967,1.2493780957762264,0.006620290789982761,1.0344204359348064e-08,2.0,-1.1415926535897931
800,True,True,5,5,1,0.00125,0.0011138010848787665,0.00013619891512123348,0.12228297940296788,13251.07047215432,1.419952871640266,0.0007320251397532145,4.043905783738501e-11,,
1000,True,True,0,5,799,0.799,0.6816901138162093,0.11730988618379079,0.17208682333248382,1.0,0.0,1.0,1.0,11.579710144927537,8.438117491337744
1000,True,True,1,5,69,0.069,0.10849435127072644,-0.03949435127072644,-0.3640221892490606,24.124266621374588,0.46081803988256376,0.7628762940471857,0.02412426662137459,3.45,0.30840734641020706
1000,True,True,2,5,20,0.02,0.034534824604569136,-0.014534824604569136,-0.42087442953586346,227.63280711440242,0.7857449513470078,0.22763280711440242,0.00022763280711440243,2.857142857142857,-0.2844497964469359
1000,True,True,3,5,7,0.007,0.010992776089257578,-0.003992776089257578,-0.3632181768133548,1369.439059954266,1.045514236971043,0.043305465462553615,1.369439059954266e-06,2.3333333333333335,-0.8082593202564596
1000,True,True,4,5,3,0.003,0.003499109305815475,-0.0004991093058154751,-0.14263895814456604,6172.397155353002,1.2634846208126485,0.006172397155353002,6.1723971553530015e-09,3.0,-0.14159265358979312
1000,True,True,5,5,1,0.001,0.0011138010848787665,-0.00011380108487876652,-0.1021736164776257,25394.33174392608,1.4682455962610943,0.0008030392796872217,2.5394331743926078e-11,,
1700,True,True,0,6,1345,0.7911764705882353,0.6816901138162093,0.109486356772026,0.16061015783125274,1.0,0.0,1.0,1.0,10.76,7.618407346410207
