model,N_min,point_count,C,a,p,rmse,max_abs_residual
C-a*N^(-p),800,9,3.1430865399278547,3.628448780660988,0.8711852657445694,4.4553016802775295e-05,6.63133021796547e-05
C-a*N^(-p),1000,8,3.143133080654744,3.121695350080716,0.8499677717160441,2.8629470719869628e-05,6.107150575296316e-05
C-a*N^(-p),1700,7,3.14320483388365,2.3637774307487076,0.8123332204949314,1.2833206150584705e-06,1.9248642799674087e-06
C-a*N^(-p),3000,6,3.1432069467815484,2.337587811971113,0.8109091522295622,1.2267423073095072e-06,2.0607239594738758e-06
C-a*N^(-p),5000,5,3.1432037942291977,2.390723204153871,0.8136508852336449,1.214385038768005e-06,2.0284573527540317e-06
C-a*N^(-p),8000,4,3.143203866313238,2.392271096940305,0.8137084162530863,1.3549968600124598e-06,1.977962520438581e-06
C-a*N^(-0.75),1700,7,3.1433645015574356,1.5149592326744052,0.75,4.3025920723701744e-05,6.706729301475534e-05
C-a*N^(-0.8),1700,7,3.143234513790081,2.164089583567786,0.8,8.483678097037322e-06,1.336813289620764e-05
C-a*N^(-0.8125),1700,7,3.143204438507609,2.3666021234898182,0.8125,1.288287665089969e-06,1.973540201483104e-06
C-a*N^(-0.83333333),1700,7,3.1431562551507133,2.747763427709491,0.8333333333333334,1.4196382740544327e-05,2.1658349341535654e-05
C-a*N^(-1),1700,7,3.1428411169179666,9.1505398773033,1.0,0.00012000742745408339,0.00018624965556446327
