N,rho,rho_uniform,improvement_over_uniform,search_seconds,objective_evaluations,start_count,candidate_count,best_source,output_normalization,search_gauge_min_gap,output_scale_from_search_gauge,lambda_span,lambda_final,rescaling_spectral_radius_error,min_gap,max_gap,gap_ratio,min_gap_count,min_gap_first_1_based,min_gap_last_1_based,gap_run_count,gap_pattern,reversal_error,inward_nonincreasing,max_coordinate_perturbation_gain,max_random_perturbation_gain,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21,gap_22,gap_23,gap_24,gap_25,gap_26,gap_27,gap_28,gap_29,gap_30,gap_31,gap_32,gap_33,gap_34,gap_35,gap_36,gap_37,gap_38,gap_39,gap_40,gap_41,gap_42,gap_43,gap_44,gap_45,gap_46,gap_47,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32,lambda_33,lambda_34,lambda_35,lambda_36,lambda_37,lambda_38,lambda_39,lambda_40,lambda_41,lambda_42,lambda_43,lambda_44,lambda_45,lambda_46,lambda_47,lambda_48
3,1.5,1.5,0,0.207115344,673,16,27,raw:uniform,min(gap)=1,1,1,2,3,0.000000e+00,1,1,1,2,1,2,1,1^2,0.000000e+00,True,-3.333322e-06,-3.333225e-05,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.802775637731995,1.802775637731995,0,0.781293237,1594,19,43,raw:uniform,min(gap)=1,1,1,3,4,0.000000e+00,1,1,1,3,1,3,1,1^3,0.000000e+00,True,-2.080117e-06,-1.589181e-05,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2.006932429798715,2.006932429798715,0,1.085465076,2727,20,51,raw:uniform,min(gap)=1,1,1,4,5,0.000000e+00,1,1,1,4,1,4,1,1^4,0.000000e+00,True,-1.338903e-06,-1.566171e-05,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2.154457416887877,2.154457416887878,-4.440892098500626e-16,1.482186590,2801,25,61,exact:raw:uniform,min(gap)=1,0.9999999999999989,1.000000000000001,5.000000000000006,6.000000000000006,8.881784e-16,1,1.000000000000003,1.000000000000003,5,1,5,1,1^5,1.554312e-15,True,-8.972277e-07,-2.172735e-05,1.000000000000003,1.000000000000001,1,1.000000000000001,1.000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.000000000000003,3.000000000000004,4.000000000000004,5.000000000000004,6.000000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2.266344759887142,2.266344759887142,0,1.703726030,3510,25,61,raw:uniform,min(gap)=1,1,1,6,7,0.000000e+00,1,1,1,6,1,6,1,1^6,0.000000e+00,True,-6.235240e-07,-2.474031e-05,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2.354293366779299,2.354293366779299,0,2.920888229,4977,32,75,raw:uniform,min(gap)=1,1,1,7,8,0.000000e+00,1,1,1,7,1,7,1,1^7,0.000000e+00,True,-4.468342e-07,-3.760328e-05,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2.425354504355918,2.425354504355917,4.440892098500626e-16,2.848748195,5352,32,75,exact:raw:uniform,min(gap)=1,1,1,8,9,0.000000e+00,1,1,1,8,1,8,1,1^8,2.220446e-16,True,-3.285071e-07,-3.268157e-05,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2.484039162110373,2.484039162110373,0,3.027819607,5927,35,81,raw:uniform,min(gap)=1,1,1,9,10,0.000000e+00,1,1,1,9,1,9,1,1^9,0.000000e+00,True,-2.467065e-07,-2.172654e-05,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2.533371720369743,2.533371720369742,4.440892098500626e-16,3.566670593,6589,35,81,exact:raw:uniform,min(gap)=1,1,1,10,11,0.000000e+00,1,1,1,10,1,10,1,1^10,4.440892e-16,True,-1.885931e-07,-1.760242e-05,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2.575458144181769,2.575458144181769,4.440892098500626e-16,4.351171529,7534,37,85,exact:raw:uniform,min(gap)=1,0.9999999999999999,1,11,12,0.000000e+00,1,1,1,11,1,11,1,1^11,2.220446e-16,True,-1.463277e-07,-2.654094e-05,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3.000000000000001,4.000000000000001,5.000000000000001,6.000000000000001,7.000000000000001,8,9.000000000000002,10,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
